,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
579,female,group D,master's degree,standard,none,53,61,68
580,female,group D,some high school,standard,none,81,97,96
581,female,group E,some high school,standard,none,77,79,80
582,female,group D,bachelor's degree,free/reduced,none,63,73,78
583,female,group D,associate's degree,standard,completed,73,75,80
584,female,group D,some college,standard,none,69,77,77
585,female,group C,associate's degree,standard,none,65,76,76
586,female,group A,high school,standard,none,55,73,73
587,female,group C,bachelor's degree,free/reduced,none,44,63,62
588,female,group C,some college,standard,none,54,64,65
589,female,group A,some high school,standard,none,48,66,65
590,male,group C,some college,free/reduced,none,58,57,54
591,male,group A,some high school,standard,none,71,62,50
592,male,group E,bachelor's degree,standard,none,68,68,64
593,female,group E,high school,standard,none,74,76,73
594,female,group C,bachelor's degree,standard,completed,92,100,99
595,female,group C,bachelor's degree,standard,completed,56,79,72
596,male,group B,high school,free/reduced,none,30,24,15
597,male,group A,some high school,standard,none,53,54,48
598,female,group D,high school,standard,none,69,77,73
599,female,group D,some high school,standard,none,65,82,81
600,female,group D,master's degree,standard,none,54,60,63
601,female,group C,high school,standard,none,29,29,30
602,female,group E,some college,standard,none,76,78,80
603,male,group D,high school,free/reduced,none,60,57,51
604,male,group D,master's degree,free/reduced,completed,84,89,90
605,male,group C,some high school,standard,none,75,72,62
606,female,group C,associate's degree,standard,none,85,84,82
607,female,group C,master's degree,free/reduced,none,40,58,54
608,female,group E,some college,standard,none,61,64,62
609,female,group B,associate's degree,standard,none,58,63,65
610,male,group D,some college,free/reduced,completed,69,60,63
611,female,group C,some college,standard,none,58,59,66
612,male,group C,bachelor's degree,standard,completed,94,90,91
613,female,group C,associate's degree,standard,none,65,77,74
614,female,group A,associate's degree,standard,none,82,93,93
615,female,group C,high school,standard,none,60,68,72
616,female,group E,bachelor's degree,standard,none,37,45,38
617,male,group D,bachelor's degree,standard,none,88,78,83
618,male,group D,master's degree,standard,none,95,81,84
619,male,group C,associate's degree,free/reduced,completed,65,73,68
620,female,group C,high school,free/reduced,none,35,61,54
621,male,group B,bachelor's degree,free/reduced,none,62,63,56
622,male,group C,high school,free/reduced,completed,58,51,52
623,male,group A,some college,standard,completed,100,96,86
624,female,group E,bachelor's degree,free/reduced,none,61,58,62
625,male,group D,some college,standard,completed,100,97,99
626,male,group B,associate's degree,free/reduced,completed,69,70,63
627,male,group D,associate's degree,standard,none,61,48,46
628,male,group D,some college,free/reduced,none,49,57,46
629,female,group C,some high school,standard,completed,44,51,55
630,male,group D,some college,standard,none,67,64,70
631,male,group B,high school,standard,none,79,60,65
632,female,group B,bachelor's degree,standard,completed,66,74,81
633,female,group C,high school,standard,none,75,88,85
634,male,group D,some high school,standard,none,84,84,80
635,male,group A,high school,standard,none,71,74,64
636,female,group B,high school,free/reduced,completed,67,80,81
637,female,group D,some high school,standard,completed,80,92,88
638,male,group E,some college,standard,none,86,76,74
639,female,group D,associate's degree,standard,none,76,74,73
640,male,group D,high school,standard,none,41,52,51
641,female,group D,associate's degree,free/reduced,completed,74,88,90
642,female,group B,some high school,free/reduced,none,72,81,79
643,female,group E,high school,standard,completed,74,79,80
644,male,group B,high school,standard,none,70,65,60
645,female,group B,bachelor's degree,standard,completed,65,81,81
646,female,group D,associate's degree,standard,none,59,70,65
647,female,group E,high school,free/reduced,none,64,62,68
648,female,group B,high school,standard,none,50,53,55
649,female,group D,some college,standard,completed,69,79,81
650,male,group C,some high school,free/reduced,completed,51,56,53
651,female,group A,high school,standard,completed,68,80,76
652,female,group D,some college,standard,completed,85,86,98
653,female,group A,associate's degree,standard,completed,65,70,74
654,female,group B,some high school,standard,none,73,79,79
655,female,group B,some college,standard,none,62,67,67
656,male,group C,associate's degree,free/reduced,none,77,67,64
657,male,group D,some high school,standard,none,69,66,61
658,female,group D,associate's degree,free/reduced,none,43,60,58
659,male,group D,associate's degree,standard,none,90,87,85
660,male,group C,some college,free/reduced,none,74,77,73
661,male,group C,some high school,standard,none,73,66,63
662,female,group D,some college,free/reduced,none,55,71,69
663,female,group C,high school,standard,none,65,69,67
664,male,group D,associate's degree,standard,none,80,63,63
665,female,group C,some high school,free/reduced,completed,50,60,60
666,female,group C,some college,free/reduced,completed,63,73,71
667,female,group B,bachelor's degree,free/reduced,none,77,85,87
668,male,group C,some college,standard,none,73,74,61
669,male,group D,associate's degree,standard,completed,81,72,77
670,female,group C,high school,free/reduced,none,66,76,68
671,male,group D,associate's degree,free/reduced,none,52,57,50
672,female,group C,some college,standard,none,69,78,76
673,female,group C,associate's degree,standard,completed,65,84,84
674,female,group D,high school,standard,completed,69,77,78
675,female,group B,some college,standard,completed,50,64,66
676,female,group E,some college,standard,completed,73,78,76
677,female,group C,some high school,standard,completed,70,82,76
678,male,group D,associate's degree,free/reduced,none,81,75,78
679,male,group D,some college,free/reduced,none,63,61,60
680,female,group D,high school,standard,none,67,72,74
681,male,group B,high school,standard,none,60,68,60
682,male,group B,high school,standard,none,62,55,54
683,female,group C,some high school,free/reduced,completed,29,40,44
684,male,group B,some college,standard,completed,62,66,68
685,female,group E,master's degree,standard,completed,94,99,100
686,male,group E,some college,standard,completed,85,75,68
687,male,group D,associate's degree,free/reduced,none,77,78,73
688,male,group A,high school,free/reduced,none,53,58,44
689,male,group E,some college,free/reduced,none,93,90,83
690,female,group C,associate's degree,standard,none,49,53,53
691,female,group E,associate's degree,free/reduced,none,73,76,78
692,female,group C,bachelor's degree,free/reduced,completed,66,74,81
693,female,group D,associate's degree,standard,none,77,77,73
694,female,group C,some high school,standard,none,49,63,56
695,female,group D,some college,free/reduced,none,79,89,86
696,female,group C,associate's degree,standard,completed,75,82,90
697,female,group A,bachelor's degree,standard,none,59,72,70
698,female,group D,associate's degree,standard,completed,57,78,79
699,male,group C,high school,free/reduced,none,66,66,59
700,female,group E,bachelor's degree,standard,completed,79,81,82
701,female,group B,some high school,standard,none,57,67,72
702,male,group A,bachelor's degree,standard,completed,87,84,87
703,female,group D,some college,standard,none,63,64,67
704,female,group B,some high school,free/reduced,completed,59,63,64
705,male,group A,bachelor's degree,free/reduced,none,62,72,65
706,male,group D,high school,standard,none,46,34,36
707,male,group C,some college,standard,none,66,59,52
708,male,group D,high school,standard,none,89,87,79
709,female,group D,associate's degree,free/reduced,completed,42,61,58
710,male,group C,some college,standard,completed,93,84,90
711,female,group E,some high school,standard,completed,80,85,85
712,female,group D,some college,standard,none,98,100,99
713,male,group D,master's degree,standard,none,81,81,84
714,female,group B,some high school,standard,completed,60,70,74
715,female,group B,associate's degree,free/reduced,completed,76,94,87
716,male,group C,associate's degree,standard,completed,73,78,72
717,female,group C,associate's degree,standard,completed,96,96,99
718,female,group C,high school,standard,none,76,76,74
719,male,group E,associate's degree,free/reduced,completed,91,73,80
720,female,group C,some college,free/reduced,none,62,72,70
721,male,group D,some high school,free/reduced,completed,55,59,59
722,female,group B,some high school,free/reduced,completed,74,90,88
723,male,group C,high school,standard,none,50,48,42
724,male,group B,some college,standard,none,47,43,41
725,male,group E,some college,standard,completed,81,74,71
726,female,group E,associate's degree,standard,completed,65,75,77
727,male,group E,some high school,standard,completed,68,51,57
728,female,group D,high school,free/reduced,none,73,92,84
729,male,group C,some college,standard,none,53,39,37
730,female,group B,associate's degree,free/reduced,completed,68,77,80
731,male,group A,some high school,free/reduced,none,55,46,43
732,female,group C,some college,standard,completed,87,89,94
733,male,group D,some high school,standard,none,55,47,44
734,female,group E,some college,free/reduced,none,53,58,57
735,male,group C,master's degree,standard,none,67,57,59
736,male,group C,associate's degree,standard,none,92,79,84
737,female,group B,some college,free/reduced,completed,53,66,73
738,male,group D,associate's degree,standard,none,81,71,73
739,male,group C,high school,free/reduced,none,61,60,55
740,male,group D,bachelor's degree,standard,none,80,73,72
741,female,group A,associate's degree,free/reduced,none,37,57,56
742,female,group C,high school,standard,none,81,84,82
743,female,group C,associate's degree,standard,completed,59,73,72
744,male,group B,some college,free/reduced,none,55,55,47
745,male,group D,associate's degree,standard,none,72,79,74
746,male,group D,high school,standard,none,69,75,71
747,male,group C,some college,standard,none,69,64,68
748,female,group C,bachelor's degree,free/reduced,none,50,60,59
749,male,group B,some college,standard,completed,87,84,86
750,male,group D,some high school,standard,completed,71,69,68
751,male,group E,some college,standard,none,68,72,65
752,male,group C,master's degree,free/reduced,completed,79,77,75
753,female,group C,some high school,standard,completed,77,90,85
754,male,group C,associate's degree,free/reduced,none,58,55,53
755,female,group E,associate's degree,standard,none,84,95,92
756,male,group D,some college,standard,none,55,58,52
757,male,group E,bachelor's degree,free/reduced,completed,70,68,72
758,female,group D,some college,free/reduced,completed,52,59,65
759,male,group B,some college,standard,completed,69,77,77
760,female,group C,high school,free/reduced,none,53,72,64
761,female,group D,some high school,standard,none,48,58,54
762,male,group D,some high school,standard,completed,78,81,86
763,female,group B,high school,standard,none,62,62,63
764,male,group D,some college,standard,none,60,63,59
765,female,group B,high school,standard,none,74,72,72
766,female,group C,high school,standard,completed,58,75,77
767,male,group B,high school,standard,completed,76,62,60
768,female,group D,some high school,standard,none,68,71,75
769,male,group A,some college,free/reduced,none,58,60,57
770,male,group B,high school,standard,none,52,48,49
771,male,group D,bachelor's degree,standard,none,75,73,74
772,female,group B,some high school,free/reduced,completed,52,67,72
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
774,male,group B,some college,standard,none,66,65,60
775,female,group B,some high school,free/reduced,none,49,58,55
776,female,group B,high school,standard,none,66,72,70
777,female,group C,some college,free/reduced,none,35,44,43
778,female,group A,some college,standard,completed,72,79,82
779,male,group E,associate's degree,standard,completed,94,85,82
780,female,group D,associate's degree,free/reduced,none,46,56,57
781,female,group B,master's degree,standard,none,77,90,84
782,female,group B,high school,free/reduced,completed,76,85,82
783,female,group C,associate's degree,standard,completed,52,59,62
784,male,group C,bachelor's degree,standard,completed,91,81,79
785,female,group B,some high school,standard,completed,32,51,44
786,female,group E,some high school,free/reduced,none,72,79,77
787,female,group B,some college,standard,none,19,38,32
788,male,group C,associate's degree,free/reduced,none,68,65,61
789,female,group C,master's degree,free/reduced,none,52,65,61
790,female,group B,high school,standard,none,48,62,60
791,female,group D,some college,free/reduced,none,60,66,70
792,male,group D,high school,free/reduced,none,66,74,69
793,male,group E,some high school,standard,completed,89,84,77
794,female,group B,high school,standard,none,42,52,51
795,female,group E,associate's degree,free/reduced,completed,57,68,73
796,male,group D,high school,standard,none,70,70,70
797,female,group E,associate's degree,free/reduced,none,70,84,81
798,male,group E,some college,standard,none,69,60,54
799,female,group C,associate's degree,standard,none,52,55,57
800,male,group C,some high school,standard,completed,67,73,68
801,male,group C,some high school,standard,completed,76,80,73
802,female,group E,associate's degree,standard,none,87,94,95
803,female,group B,some college,standard,none,82,85,87
804,female,group C,some college,standard,none,73,76,78
805,male,group A,some college,free/reduced,none,75,81,74
806,female,group D,some college,free/reduced,none,64,74,75
807,female,group E,high school,free/reduced,none,41,45,40
808,male,group C,high school,standard,none,90,75,69
809,male,group B,bachelor's degree,standard,none,59,54,51
810,male,group A,some high school,standard,none,51,31,36
811,male,group A,high school,free/reduced,none,45,47,49
812,female,group C,master's degree,standard,completed,54,64,67
813,male,group E,some high school,standard,completed,87,84,76
814,female,group C,high school,standard,none,72,80,83
815,male,group B,some high school,standard,completed,94,86,87
816,female,group A,bachelor's degree,standard,none,45,59,64
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
818,female,group B,high school,free/reduced,none,60,72,68
819,female,group C,some high school,standard,none,77,91,88
820,female,group A,some high school,standard,completed,85,90,92
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
822,male,group E,some college,free/reduced,completed,49,52,51
823,female,group B,high school,free/reduced,none,71,87,82
824,female,group C,some high school,free/reduced,none,48,58,52
825,male,group C,high school,standard,none,62,67,58
826,female,group C,associate's degree,free/reduced,completed,56,68,70
827,female,group C,some high school,standard,none,65,69,76
828,female,group D,some high school,free/reduced,completed,69,86,81
829,male,group B,some high school,standard,none,68,54,53
830,female,group A,some college,free/reduced,none,61,60,57
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89
832,male,group A,bachelor's degree,standard,none,64,60,58
833,female,group B,high school,standard,completed,77,82,89
834,male,group B,some college,standard,none,58,50,45
835,female,group C,high school,standard,completed,60,64,74
836,male,group E,high school,standard,none,73,64,57
837,female,group A,high school,standard,completed,75,82,79
838,male,group B,associate's degree,free/reduced,completed,58,57,53
839,female,group C,associate's degree,standard,none,66,77,73
840,female,group D,high school,free/reduced,none,39,52,46
841,male,group C,some high school,standard,none,64,58,51
842,female,group B,high school,free/reduced,completed,23,44,36
843,male,group B,some college,free/reduced,completed,74,77,76
844,female,group D,some high school,free/reduced,completed,40,65,64
845,male,group E,master's degree,standard,none,90,85,84
846,male,group C,master's degree,standard,completed,91,85,85
847,male,group D,high school,standard,none,64,54,50
848,female,group C,high school,standard,none,59,72,68
849,male,group D,associate's degree,standard,none,80,75,69
850,male,group C,master's degree,standard,none,71,67,67
851,female,group A,high school,standard,none,61,68,63
852,female,group E,some college,standard,none,87,85,93
853,male,group E,some high school,standard,none,82,67,61
854,male,group C,some high school,standard,none,62,64,55
855,female,group B,bachelor's degree,standard,none,97,97,96
856,male,group B,some college,free/reduced,none,75,68,65
857,female,group C,bachelor's degree,standard,none,65,79,81
858,male,group B,high school,standard,completed,52,49,46
859,male,group C,associate's degree,free/reduced,none,87,73,72
860,female,group C,associate's degree,standard,none,53,62,53
861,female,group E,master's degree,free/reduced,none,81,86,87
862,male,group D,bachelor's degree,free/reduced,completed,39,42,38
863,female,group C,some college,standard,completed,71,71,80
864,male,group C,associate's degree,standard,none,97,93,91
865,male,group D,some college,standard,completed,82,82,88
866,male,group C,high school,free/reduced,none,59,53,52
867,male,group B,associate's degree,standard,none,61,42,41
868,male,group E,associate's degree,free/reduced,completed,78,74,72
869,male,group C,associate's degree,free/reduced,none,49,51,51
870,male,group B,high school,standard,none,59,58,47
871,female,group C,some college,standard,completed,70,72,76
872,male,group B,associate's degree,standard,completed,82,84,78
873,male,group E,associate's degree,free/reduced,none,90,90,82
874,female,group C,bachelor's degree,free/reduced,none,43,62,61
875,male,group C,some college,free/reduced,none,80,64,66
876,male,group D,some college,standard,none,81,82,84
877,male,group C,some high school,standard,none,57,61,54
878,female,group D,some high school,standard,none,59,72,80
879,female,group D,associate's degree,standard,none,64,76,74
880,male,group C,bachelor's degree,standard,completed,63,64,66
881,female,group E,bachelor's degree,standard,completed,71,70,70
882,female,group B,high school,free/reduced,none,64,73,71
883,male,group D,bachelor's degree,free/reduced,none,55,46,44
884,female,group E,associate's degree,standard,none,51,51,54
885,female,group C,associate's degree,standard,completed,62,76,80
886,female,group E,associate's degree,standard,completed,93,100,95
887,male,group C,high school,free/reduced,none,54,72,59
888,female,group D,some college,free/reduced,none,69,65,74
889,male,group D,high school,free/reduced,none,44,51,48
890,female,group E,some college,standard,completed,86,85,91
891,female,group E,associate's degree,standard,none,85,92,85
892,female,group A,master's degree,free/reduced,none,50,67,73
893,male,group D,some high school,standard,completed,88,74,75
894,female,group E,associate's degree,standard,none,59,62,69
895,female,group E,some high school,free/reduced,none,32,34,38
896,male,group B,high school,free/reduced,none,36,29,27
897,female,group B,some high school,free/reduced,completed,63,78,79
898,male,group D,associate's degree,standard,completed,67,54,63
899,female,group D,some high school,standard,completed,65,78,82
900,male,group D,master's degree,standard,none,85,84,89
901,female,group C,master's degree,standard,none,73,78,74
902,female,group A,high school,free/reduced,completed,34,48,41
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
904,female,group D,some high school,free/reduced,none,67,84,84
905,male,group D,some college,standard,none,88,77,77
906,male,group B,high school,standard,none,57,48,51
907,female,group D,some college,standard,completed,79,84,91
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
909,male,group E,bachelor's degree,standard,completed,70,64,70
910,male,group D,bachelor's degree,free/reduced,none,50,42,48
911,female,group A,some college,standard,none,69,84,82
912,female,group C,bachelor's degree,standard,completed,52,61,66
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
914,female,group B,associate's degree,free/reduced,none,46,61,55
915,female,group E,some college,standard,none,68,70,66
916,male,group E,bachelor's degree,standard,completed,100,100,100
917,female,group C,high school,standard,none,44,61,52
918,female,group C,associate's degree,standard,completed,57,77,80
919,male,group B,some college,standard,completed,91,96,91
920,male,group D,high school,free/reduced,none,69,70,67
921,female,group C,high school,free/reduced,none,35,53,46
922,male,group D,high school,standard,none,72,66,66
923,female,group B,associate's degree,free/reduced,none,54,65,65
924,male,group D,high school,free/reduced,none,74,70,69
925,male,group E,some high school,standard,completed,74,64,60
926,male,group E,associate's degree,free/reduced,none,64,56,52
927,female,group D,high school,free/reduced,completed,65,61,71
928,male,group E,associate's degree,free/reduced,completed,46,43,44
929,female,group C,some high school,free/reduced,none,48,56,51
930,male,group C,some college,free/reduced,completed,67,74,70
931,male,group D,some college,free/reduced,none,62,57,62
932,male,group D,associate's degree,free/reduced,completed,61,71,73
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74
934,male,group C,associate's degree,standard,completed,98,87,90
935,male,group D,some college,free/reduced,none,70,63,58
936,male,group A,associate's degree,standard,none,67,57,53
937,female,group E,high school,free/reduced,none,57,58,57
938,male,group D,some college,standard,completed,85,81,85
939,male,group D,some high school,standard,completed,77,68,69
940,male,group C,master's degree,free/reduced,completed,72,66,72
941,female,group D,master's degree,standard,none,78,91,96
942,male,group C,high school,standard,none,81,66,64
943,male,group A,some high school,free/reduced,completed,61,62,61
944,female,group B,high school,standard,none,58,68,61
945,female,group C,associate's degree,standard,none,54,61,58
946,male,group B,high school,standard,none,82,82,80
947,female,group D,some college,free/reduced,none,49,58,60
948,male,group B,some high school,free/reduced,completed,49,50,52
949,female,group E,high school,free/reduced,completed,57,75,73
950,male,group E,high school,standard,none,94,73,71
951,female,group D,some college,standard,completed,75,77,83
952,female,group E,some high school,free/reduced,none,74,74,72
953,male,group C,high school,standard,completed,58,52,54
954,female,group C,some college,standard,none,62,69,69
955,male,group E,associate's degree,standard,none,72,57,62
956,male,group C,some college,standard,none,84,87,81
957,female,group D,master's degree,standard,none,92,100,100
958,female,group D,high school,standard,none,45,63,59
959,male,group C,high school,standard,none,75,81,71
960,female,group A,some college,standard,none,56,58,64
961,female,group D,some high school,free/reduced,none,48,54,53
962,female,group E,associate's degree,standard,none,100,100,100
963,female,group C,some high school,free/reduced,completed,65,76,75
964,male,group D,some college,standard,none,72,57,58
965,female,group D,some college,standard,none,62,70,72
966,male,group A,some high school,standard,completed,66,68,64
967,male,group C,some college,standard,none,63,63,60
968,female,group E,associate's degree,standard,none,68,76,67
969,female,group B,bachelor's degree,standard,none,75,84,80
970,female,group D,bachelor's degree,standard,none,89,100,100
971,male,group C,some high school,standard,completed,78,72,69
972,female,group A,high school,free/reduced,completed,53,50,60
973,female,group D,some college,free/reduced,none,49,65,61
974,female,group A,some college,standard,none,54,63,67
975,female,group C,some college,standard,completed,64,82,77
976,male,group B,some college,free/reduced,completed,60,62,60
977,male,group C,associate's degree,standard,none,62,65,58
978,male,group D,high school,standard,completed,55,41,48
979,female,group C,associate's degree,standard,none,91,95,94
980,female,group B,high school,free/reduced,none,8,24,23
981,male,group D,some high school,standard,none,81,78,78
982,male,group B,some high school,standard,completed,79,85,86
983,female,group A,some college,standard,completed,78,87,91
984,female,group C,some high school,standard,none,74,75,82
985,male,group A,high school,standard,none,57,51,54
986,female,group C,associate's degree,standard,none,40,59,51
987,male,group E,some high school,standard,completed,81,75,76
988,female,group A,some high school,free/reduced,none,44,45,45
989,female,group D,some college,free/reduced,completed,67,86,83
990,male,group E,high school,free/reduced,completed,86,81,75
991,female,group B,some high school,standard,completed,65,82,78
992,female,group D,associate's degree,free/reduced,none,55,76,76
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
994,male,group A,high school,standard,none,63,63,62
995,female,group E,master's degree,standard,completed,88,99,95
996,male,group C,high school,free/reduced,none,62,55,55
997,female,group C,high school,free/reduced,completed,59,71,65
998,female,group D,some college,standard,completed,68,78,77
999,female,group D,some college,free/reduced,none,77,86,86
